device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,distance_traveled_with_MIL_on,driver_behaviour_label,ethanol_percentage,fuel_model_prediction_prob,fuel_rail_gauge_pressure,fuel_rail_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:53.959909,2026-02-04T14:01:52,,50.0,,77.0,919.0,0.0,0.2130839526653289,-1.0678139925003052,9.732429504394531,9.79315146168342,,,,-3.0,,,,,,0.0,,,0,Não identificado,,,0.0,0.7,,,,,,,,,,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:54.959244,2026-02-04T14:01:52,,50.0,,77.0,919.0,0.0,0.1221042871475219,-0.9145850539207458,9.691728591918944,9.735552289275336,-5.8433148,-35.197764,,-3.0,35.0,,18.0,,,679.75,,,0,Não identificado,,,1.0,0.6666666666666666,0.0,1.0,,,,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:55.959254,2026-02-04T14:01:52,14.11,49.0,,76.0,919.0,0.0,0.0622492432594299,-0.9002198576927185,9.691728591918944,9.733646483198877,-5.8433148,-35.197764,,-3.0,35.0,,18.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.6666666666666666,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:56.959678,2026-02-04T14:01:52,14.11,49.0,,76.0,904.0,0.0,0.0526724383234977,-1.0103530883789062,9.672574996948242,9.725342915318926,-5.8433148,-35.197764,,-3.0,35.0,,17.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:57.959883,2026-02-04T14:01:52,14.11,49.0,,76.0,906.0,0.0,0.0263362191617488,-0.9050082564353944,9.68694019317627,9.729159462503937,-5.8433148,-35.197764,,-1.0,35.0,,17.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:58.960735,2026-02-04T14:01:52,14.11,49.0,,76.0,911.0,350.0,0.2513911724090576,-0.912190854549408,9.708487510681152,9.754487142937895,-5.8433148,-35.197764,,-1.0,35.0,,17.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:01:59.960657,2026-02-04T14:01:52,14.11,48.0,,75.0,898.0,350.0,0.2346317619085312,-0.8140285611152649,9.720458984375,9.757305848897245,-5.8433182,-35.1977689,,-4.5,35.0,,17.0,41.57,,626.64,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:02:00.960916,2026-02-04T14:01:52,14.11,47.0,,75.0,907.0,350.0,0.0047884033992886,-0.828393816947937,9.646238327026367,9.681744321482425,-5.8433182,-35.1977689,,-4.5,35.0,,17.0,41.57,,610.53,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:02:01.959984,2026-02-04T14:01:52,14.11,48.0,,75.0,917.0,350.0,0.2849099934101105,-0.8379706144332886,9.799467086791992,9.839355854938788,-5.8433182,-35.1977689,,-4.5,35.0,,17.0,41.57,,625.6800000000001,,,0,Gasolina,,,1.0,0.8333333333333334,0.0,0.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:02:02.960078,2026-02-04T14:01:52,14.11,48.0,,75.0,900.0,350.0,0.1556231081485748,-0.8930372595787048,9.710882186889648,9.753100376107914,-5.8433182,-35.1977689,,-4.0,35.0,,17.0,41.57,,625.6800000000001,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,0.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Gasolina
