device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,fuel_type
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:51.326486,2026-02-02T16:37:50,,56.0,,,957.0,0.0,0.5219359993934631,5.588066577911377,8.056488990783691,9.818651644968968,,,,,-200.0,,,,,0.0,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,,,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:52.324916,2026-02-02T16:37:50,,56.0,,,1166.0,0.0,0.1675941199064254,6.521805286407471,7.314286231994629,9.801061935646862,,,,,-200.0,,,,,261.8,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:53.324927,2026-02-02T16:37:50,,65.0,,,1353.0,2.0,-0.7781155705451965,6.847416877746582,7.491456985473633,10.17912125401674,,,,,-200.0,,,,,378.95,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:54.325610,2026-02-02T16:37:50,,61.0,,,1350.0,5.0,0.4525041282176971,4.9799394607543945,7.364564418792725,8.901761965890834,-5.8432601,-35.1975222,,,-200.0,,,,,445.5,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:55.323696,2026-02-02T16:37:50,,52.0,,,1063.0,6.0,1.015141487121582,4.347870349884033,8.813055992126465,9.879496178380368,-5.8432601,-35.1975222,,,-200.0,,,,,308.27,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:56.325099,2026-02-02T16:37:50,,51.0,,,1055.0,6.0,0.6177040338516235,4.584896087646484,8.245630264282227,9.454800307949377,-5.8432601,-35.1975222,,,-200.0,,,,,298.11,,,0,Não identificado,,,0.0,0.9333333333333332,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:57.324806,2026-02-02T16:37:50,,46.0,,,1020.0,7.0,0.4620809257030487,5.916072368621826,8.415618896484375,10.297381825664916,-5.8432601,-35.1975222,,,-200.0,,,,,272.685,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:58.324569,2026-02-02T16:37:50,,42.0,,,976.0,8.0,-0.4213795065879822,4.639962673187256,9.08838939666748,10.213013077569284,-5.8432601,-35.1975222,,,-200.0,,,,,245.735,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:37:59.324186,2026-02-02T16:37:50,,42.0,,,929.0,8.0,-0.2920926213264465,5.386953830718994,8.767566680908203,10.294406985247042,-5.8432467,-35.1976123,,,-200.0,,,,,228.25000000000003,,,0,Não identificado,,,0.0,0.6666666666666666,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:38:00.324876,2026-02-02T16:37:50,,44.0,,,948.0,8.0,-2.324769735336304,4.572925090789795,8.865729331970215,10.242917299093431,-5.8432467,-35.1976123,,,-200.0,,,,,245.96,,,0,Não identificado,,,0.0,0.7333333333333333,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:38:01.325367,2026-02-02T16:37:50,,47.0,,,932.0,6.0,-0.6967126727104187,5.149928092956543,4.017470359802246,6.568655570421385,-5.8432467,-35.1976123,,,-200.0,,,,,248.305,,,0,Não identificado,,,0.0,0.7333333333333333,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:38:02.325880,2026-02-02T16:37:50,,51.0,,,962.0,6.0,0.237025961279869,4.4508209228515625,8.054094314575195,9.205130277279425,-5.8432467,-35.1976123,,,-200.0,,,,,270.28,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,0.0,0.0,,Gasolina
,9BD376AT1SYB85622,App2Car,2026-02-02T16:38:03.324948,2026-02-02T16:37:50,,46.0,,,959.0,7.0,-0.071826048195362,4.252102375030518,8.29830265045166,9.32455685099472,-5.8432467,-35.1976123,,,-200.0,,,,,254.135,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,0.0,0.0,,Gasolina
