device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,distance_traveled_with_MIL_on,driver_behaviour_label,ethanol_percentage,fuel_model_prediction_prob,fuel_rail_gauge_pressure,fuel_rail_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:10.294891,2026-02-04T14:16:09,,31.0,,62.0,512.4,50.0,-0.3902548849582672,-0.0095768067985773,9.897629737854004,9.90532508391896,,,,-13.0,,,,,,0.0,,,0,Não identificado,,,0.0,0.6666666666666666,,,,,,,,,,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:11.294789,2026-02-04T14:16:09,,31.0,,62.0,512.4,50.0,-0.3687070608139038,0.2346317619085312,9.672574996948242,9.682443081783576,,,,-13.0,43.0,,16.0,,,380.37,,,0,Não identificado,,,1.0,0.6,0.0,0.0,,,,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:12.294275,2026-02-04T14:16:09,14.15,31.0,,62.0,512.4,50.0,-0.2202665507793426,0.4046200811862945,9.852140426635742,9.862905542974737,,,,-13.0,43.0,,16.0,50.98,,380.37,,,0,Gasolina,,,1.0,0.6,0.0,0.0,30.2,0.97,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:13.294792,2026-02-04T14:16:09,14.15,39.0,,72.0,492.59999999999997,50.0,0.304063618183136,0.7733271718025208,9.411606788635254,9.448218453361244,,,,-4.5,44.0,,16.0,50.98,,478.53,,,0,Gasolina,,,1.0,0.8,0.0,0.0,30.2,1.0,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:14.294107,2026-02-04T14:16:09,14.15,41.0,,74.0,536.4,50.0,-0.2944868206977844,0.849941611289978,9.636661529541016,9.67855199216818,-5.8433487,-35.1977016,,9.5,44.0,,16.0,50.98,,496.305,,,0,Gasolina,,,1.0,0.8,0.0,0.0,30.2,0.99,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:15.294059,2026-02-04T14:16:09,14.15,29.0,,83.0,571.8,50.0,-0.8930372595787048,0.8164227604866028,9.916783332824709,9.990327989662116,-5.8433487,-35.1977016,,9.5,44.0,,15.0,50.98,,383.04,,,0,Gasolina,,,1.0,0.5666666666666667,0.0,0.0,30.2,1.0,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:16.294303,2026-02-04T14:16:09,14.15,32.0,,80.0,764.4,50.0,0.5554547905921936,0.4453215301036834,10.51054573059082,10.534629221971064,-5.8433487,-35.1977016,,18.0,44.0,,17.0,50.98,,504.0700000000001,,,0,Gasolina,,,0.0,0.6,0.0,0.0,30.2,1.0,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:17.294019,2026-02-04T14:16:09,14.15,30.0,,76.0,921.5999999999999,50.0,2.1092917919158936,0.2681505978107452,10.644620895385742,10.854905370984714,-5.8433487,-35.1977016,,24.0,44.0,,17.0,50.98,,565.0600000000001,,,0,Gasolina,,,0.0,0.9,0.0,0.0,30.2,1.0,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:18.294710,2026-02-04T14:16:09,14.15,27.0,,74.0,999.0,50.0,-0.150834709405899,1.05105459690094,7.972691535949707,8.043088784952722,-5.8433487,-35.1977016,,26.0,44.0,,17.0,50.98,,598.66,,,0,Gasolina,,,0.0,0.9,0.0,0.0,30.2,0.99,11030.0,,-1.56,933.0,1.56,Gasolina
,9BHPC81EBTP234663,App2Car,2026-02-04T14:16:19.294485,2026-02-04T14:16:09,14.15,31.0,,71.0,999.0,50.0,0.2442085742950439,0.2657563984394073,9.75637149810791,9.763045073139994,-5.8434527,-35.1976564,,15.5,44.0,,17.0,50.98,,706.65,,,0,Gasolina,,,0.0,0.8,0.0,0.0,30.2,1.0,11030.0,,-1.56,933.0,1.56,Gasolina
