device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,,App2Car,2026-02-02T16:02:10.117907,2026-02-02T16:02:09,,19.0,,25.0,5520.360081533152,106.82394607502536,-0.4405331015586853,10.287884712219238,0.3974374830722809,10.304979273071542,,,,9.5,37.0,,,,,0.0,,,1,Não identificado,,,0.0,0.8,,,,,,,Gasolina
,,App2Car,2026-02-02T16:02:11.119271,2026-02-02T16:02:09,14.3,21.0,,25.0,4530.730835426061,94.37850529032863,0.5841852426528931,10.216058731079102,0.5003881454467773,10.244975192292786,,,,9.5,37.0,4.275,14.0,50.59,,229.215,,,0,Não identificado,,,0.0,0.8333333333333334,68.0,0.0,1.0,,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:12.118983,2026-02-02T16:02:09,14.3,20.0,,26.0,5992.714994276494,114.0914992321332,-0.3519476354122162,9.761159896850586,-0.2466027736663818,9.770615261995344,-5.8433523,-35.1976988,,8.0,37.0,4.375,14.0,50.59,,218.8,,,0,Não identificado,,,0.0,0.8333333333333334,68.0,0.0,1.0,,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:13.118658,2026-02-02T16:02:09,14.3,24.0,,26.0,5376.67515456729,106.44395517201812,-0.727837324142456,9.15542697906494,-2.0829553604125977,9.417552408820278,-5.8433523,-35.1976988,,6.0,37.0,5.175,15.0,50.59,,276.84000000000003,,,0,Etanol,,,0.0,0.7,68.0,0.0,1.0,0.53,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:14.119138,2026-02-02T16:02:09,14.3,31.0,,27.0,4515.414268324856,117.68672112480269,-0.4309563040733337,9.028534889221191,-3.0621838569641118,9.543434159449966,-5.8433523,-35.1976988,,24.5,37.0,9.15,16.0,50.59,,415.48,,,1,Gasolina,,,1.0,0.5666666666666667,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:15.119001,2026-02-02T16:02:09,14.3,24.0,,25.0,4195.053182861932,118.63216897575009,0.8643068075180054,10.83855152130127,-1.2641384601593018,10.94619894684351,-5.8433523,-35.1976988,,27.0,37.0,7.7749999999999995,15.0,50.59,,395.4,,,1,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.73,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:16.118885,2026-02-02T16:02:09,14.3,23.0,,23.0,4786.470736915566,82.18497585256101,0.4309563040733337,10.002974510192873,-1.9800047874450684,10.206157031218668,-5.8433523,-35.1976988,,7.5,37.0,6.875,15.0,50.59,,433.92,,,1,Gasolina,,,0.0,0.6666666666666666,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:17.119483,2026-02-02T16:02:09,14.3,20.0,,28.0,4867.211263458427,111.00938666150249,-2.432508945465088,8.832210540771484,-3.845088005065918,9.935277780363483,-5.84343,-35.1976904,,3.0,37.0,4.675000000000001,14.0,50.59,,364.05,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:18.119534,2026-02-02T16:02:09,14.3,30.0,,35.0,4908.208085207369,117.74705060815637,3.615244626998901,8.401253700256348,-5.9974751472473145,10.9371278492557,-5.84343,-35.1976904,,26.0,37.0,8.9,16.0,50.59,,547.47,,,1,Etanol,,,0.0,0.5666666666666667,68.0,0.0,2.0,0.93,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:19.119803,2026-02-02T16:02:09,14.3,33.0,,32.0,5789.690815361547,116.50536750474001,0.7134721279144287,9.93354320526123,-1.0869675874710083,10.018274383561016,-5.84343,-35.1976904,,26.5,37.0,10.175,16.0,50.59,,640.14,,,1,Etanol,,,0.0,0.6333333333333333,68.0,0.0,2.0,0.87,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:20.119443,2026-02-02T16:02:09,14.3,18.0,,24.0,5532.8147165365135,81.63210086411993,0.9911994934082032,11.3269681930542,-0.8834604024887085,11.404524854852994,-5.84343,-35.1976904,,21.0,37.0,5.6499999999999995,15.0,50.59,,439.89,,,1,Etanol,,,0.0,0.9,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:21.119865,2026-02-02T16:02:09,14.3,20.0,,25.0,5364.270322793137,111.87920518163165,-0.0574608407914638,8.271966934204102,-0.1891419291496276,8.274328575670229,-5.84343,-35.1976904,,2.5,37.0,5.575,15.0,50.59,,446.25,,,1,Etanol,,,0.0,0.5666666666666667,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:22.118385,2026-02-02T16:02:09,14.3,22.0,,25.0,5869.8855221617505,88.02737419610222,-1.3886369466781616,7.824251174926758,-1.867477297782898,8.16300744062854,-5.8436184,-35.1976739,,3.0,37.0,5.525,15.0,50.59,,420.75,,,1,Gasolina,,,1.0,0.6,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:23.120074,2026-02-02T16:02:09,14.3,22.0,,26.0,5702.499386708008,93.87078718388092,0.3734954595565796,9.974244117736816,-1.168370485305786,10.049384765718274,-5.8436184,-35.1976739,,4.0,37.0,4.825,15.0,50.59,,420.75,,,1,Etanol,,,0.0,0.7666666666666667,68.0,0.0,2.0,0.83,313.0,-7.03,Gasolina
,,App2Car,2026-02-02T16:02:24.121352,2026-02-02T16:02:09,14.3,22.0,,26.0,5326.446519095686,96.71570656811883,0.7134721279144287,10.654197692871094,-1.5442601442337036,10.789147804583974,-5.8436184,-35.1976739,,4.5,37.0,4.7749999999999995,14.0,50.59,,333.9,,,0,Etanol,,,0.0,0.8666666666666667,68.0,0.0,1.0,0.77,313.0,-7.03,Gasolina
