device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,,App2Car,2026-02-02T16:14:03.370685,2026-02-02T16:14:02,,19.0,,25.0,424.8,50.0,-2.0685901641845703,3.7636849880218506,7.924807548522949,9.013709815472678,,,,5.0,39.0,0.852,,,,0.0,,,0,Não identificado,,,0.0,0.7666666666666667,,,,,,,Gasolina
,,App2Car,2026-02-02T16:14:04.368986,2026-02-02T16:14:02,14.18,19.0,,25.0,424.8,50.0,-2.073378562927246,3.797203779220581,5.051765441894531,6.651164506013452,,,,5.0,39.0,0.852,13.0,50.59,,190.76,,,0,Não identificado,,,0.0,0.5333333333333333,90.0,0.0,0.0,,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:05.367224,2026-02-02T16:14:02,14.18,18.0,,26.0,422.4,50.0,1.3000515699386597,-0.1364694982767105,4.587290287017822,4.769904630684761,,,,3.5,39.0,0.852,13.0,50.59,,180.72,,,0,Não identificado,,,0.0,0.9,90.0,0.0,0.0,,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:06.368015,2026-02-02T16:14:02,14.18,18.0,,25.0,423.0,50.0,-0.5985504388809204,0.1268926858901977,9.586383819580078,9.605889813959129,-5.8434097,-35.1977281,,4.5,39.0,0.81,13.0,50.59,,180.72,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:07.367945,2026-02-02T16:14:02,14.18,17.0,,25.0,422.4,50.0,-0.8236053586006165,0.1628057211637497,9.770736694335938,9.806738858540186,-5.8434097,-35.1977281,,4.5,39.0,0.792,13.0,50.59,,170.425,,,0,Etanol,,,0.0,0.8666666666666667,90.0,0.0,0.0,0.67,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:08.367554,2026-02-02T16:14:02,14.18,18.0,,26.0,412.2,50.0,-0.7158663272857666,0.150834709405899,9.904812812805176,9.931794025492714,-5.8434097,-35.1977281,,3.5,39.0,0.8160000000000001,13.0,50.59,,180.36,,,0,Etanol,,,0.0,0.9,90.0,0.0,0.0,0.67,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:09.367033,2026-02-02T16:14:02,14.18,18.0,,26.0,412.2,50.0,-0.5817909836769104,0.150834709405899,9.62947940826416,9.648217738651672,-5.8434097,-35.1977281,,4.5,39.0,0.852,13.0,50.59,,180.36,,,0,Etanol,,,0.0,0.8666666666666667,90.0,0.0,0.0,0.67,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:10.367375,2026-02-02T16:14:02,14.18,19.0,,26.0,423.0,50.0,-0.7182605266571045,0.1963245421648025,9.84495735168457,9.873075851349368,-5.8434097,-35.1977281,,2.0,39.0,0.858,13.0,50.59,,190.475,,,0,Etanol,,,0.0,0.8666666666666667,90.0,0.0,0.0,0.67,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:11.367527,2026-02-02T16:14:02,14.18,19.0,,25.0,426.59999999999997,50.0,-0.5746083855628967,0.1723825186491012,9.60793113708496,9.62664174385137,-5.8434097,-35.1977281,,5.0,39.0,0.84,13.0,50.59,,190.475,,,0,Etanol,,,0.0,0.8,90.0,0.0,0.0,0.67,1026.0,-6.25,Gasolina
,,App2Car,2026-02-02T16:14:12.368211,2026-02-02T16:14:02,14.18,19.0,,25.0,423.0,50.0,-0.8427590131759644,0.6009446382522583,9.81143856048584,9.865885861833286,-5.8434097,-35.1977281,,3.0,39.0,0.84,13.0,50.59,,190.475,,,0,Etanol,,,0.0,0.8333333333333334,90.0,0.0,0.0,0.67,1026.0,-6.25,Gasolina
